,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
3,-8.555174,3.850509,0.057507,0.849933,2.305985,1.720419,4.162874,6.049633,-24.09296,17.251167,35.851164,41.53573,-30.542393,18.668432,37.572298,47.509775,-30.698833,16.803789,37.082205,46.478491,-25.530281,6.174259,24.873648,36.040564,-14.056278,-3.167858,18.709664,37.451254,7.135476,39.481021,47.134429,46.742283,21.784032,57.013507,61.141892,56.533119,33.962387,66.290487,67.558964,63.597521,42.886093,67.669497,66.51424,62.291901,28.811245,56.281128,75.239925,84.750996,59.452171,93.986607,112.37772,125.70013,49.820309,88.859997,110.543118,123.17934,40.674133,76.069851,96.714878,109.605618,32.79705,57.381649,73.672256,87.713871,-12.135067,-7.372196,0.705128,3.010086,27.079285,48.175695,55.441249,57.67223,43.687058,62.732985,66.231145,63.636887,54.131831,73.911415,79.186691,77.00968,59.738213,80.086579,86.948779,88.710086,-14.635277,355.49916,-82.242193,348.63449
4,-8.555174,3.850508,2.370243,1.73,9.878139,16.875172,26.846981,35.302677,-12.430859,29.696331,47.859364,53.437672,-21.744747,27.594166,46.515141,55.970249,-24.223366,22.816029,43.538418,52.822552,-21.890717,10.184097,30.014362,42.357044,-26.645673,-23.710923,-6.151761,10.995217,-4.881679,25.387138,33.526522,34.144335,17.781031,50.099468,53.825302,49.204272,36.551489,64.100756,64.712456,60.804457,50.587543,72.428602,69.540412,63.766995,27.233963,54.241562,73.717117,85.407829,57.883472,91.906357,109.663582,122.60891,47.841454,86.310196,107.181816,119.204636,38.578148,73.817081,93.841095,106.418152,30.743351,55.88459,71.911354,85.519409,-13.355256,-10.236057,-4.021125,-4.017605,26.554159,48.14445,55.392528,57.247881,43.100738,61.822969,65.0569,62.315737,53.435596,72.463367,77.475401,75.293636,58.760519,77.956499,84.897801,86.803913,-23.150053,359.29894,-79.831553,350.313761
5,24.150639,-5.647137,1.123924,0.330735,-10.856552,-23.134232,-35.855656,-50.674152,-39.972553,-13.19521,7.061577,21.763,-38.898926,-2.816105,19.477043,34.07341,-32.734165,0.816422,21.128197,35.076599,-23.659,-2.279663,13.225021,25.313644,28.528876,49.584037,66.14698,79.383427,53.371499,73.623843,75.662224,75.640858,45.622563,63.679557,65.818776,65.854468,35.864578,54.537038,56.752889,58.197232,26.010879,46.90197,52.29488,56.991678,26.6185,52.540054,71.270657,81.911774,56.137562,90.367012,108.447647,121.287346,45.864887,84.642105,105.631485,117.50164,36.657143,72.151909,92.604446,105.202103,29.315128,54.613438,70.788174,84.500656,-13.381438,-10.523937,-4.35501,-2.81551,25.980992,47.771724,54.647324,56.241534,42.540291,61.705149,64.73271,61.728182,52.72701,72.046429,76.788737,74.431724,57.780663,77.591863,84.277889,85.78429,1.016865,353.606154,-78.691349,350.598848
6,-43.697834,11.705346,0.628567,0.189265,18.098831,33.933392,46.248035,53.095837,9.775829,52.506695,69.172611,73.210545,1.125698,50.524578,68.036442,74.514256,-3.592243,43.559132,61.982861,68.018017,-5.363846,25.997086,45.144596,56.062145,-30.897189,-33.843178,-20.337745,-4.484191,-14.618669,16.307049,25.305072,26.349518,9.909459,42.794209,47.423081,43.732692,30.387686,58.367169,59.644352,55.289281,46.131201,68.065441,65.226096,59.716662,26.374168,52.458744,71.453075,82.696323,55.666237,89.883785,107.896671,120.762119,45.02718,83.628101,104.28709,116.045551,35.276814,70.823822,91.369457,104.069881,27.337189,53.00251,69.134903,82.878857,-13.941329,-10.683068,-4.574656,-3.28259,24.90672,47.562205,54.973181,56.899423,41.5726,61.570533,65.358921,62.603617,52.106294,71.610039,76.933912,74.909363,57.610788,77.418282,84.287522,85.959599,-42.665205,365.308197,-78.047018,350.784809
7,5.480919,-4.345191,0.792332,1.002765,15.399456,25.865021,30.754795,32.845688,4.644127,46.728115,61.425076,63.461323,-3.730373,45.186481,60.771732,66.656628,-8.996429,37.230434,54.270115,59.833889,-11.305103,18.961544,37.724018,48.301792,-25.532684,-23.277374,-7.94382,10.855908,-6.480026,26.676178,35.774237,35.931885,13.92867,49.97183,55.683496,52.049052,31.457883,62.981159,64.541901,59.784773,44.764047,69.53152,68.055314,63.296889,26.26236,52.001095,71.201019,84.718666,55.574226,89.720535,107.736969,120.54039,44.661427,82.983856,103.8517,115.570107,34.799824,69.981766,90.660782,103.375969,26.783924,52.383785,68.705349,82.496796,-14.322946,-11.172193,-6.316758,-6.98533,24.456992,46.650275,53.870751,55.56228,41.153933,61.122596,64.190665,60.69837,51.66447,70.957707,75.676612,73.148797,56.944995,76.612378,83.301368,84.742807,-37.199764,360.944064,-77.270164,351.768632
8,8.359852,-3.411155,-0.669365,-0.912362,6.063309,9.84621,13.12151,15.867977,-10.507278,33.606834,49.843369,52.134018,-16.1059,36.278343,51.593742,56.800461,-17.346382,32.959099,49.361458,53.606873,-15.387154,17.268333,35.111732,44.280167,-22.746938,-16.22313,4.484809,25.050475,-2.894612,31.856976,39.891075,38.675703,15.979586,54.621265,58.689197,53.061697,32.862581,66.744106,66.351497,60.128043,45.952495,72.040933,68.949831,62.650177,26.391964,52.068329,71.294632,83.135834,54.6908,89.034004,107.364578,120.440025,44.166412,82.547493,103.441772,115.431747,34.826717,69.687595,90.506058,103.493614,27.337761,52.574272,68.78849,82.441635,-13.79955,-10.671953,-5.137387,-3.651611,25.113337,46.792857,53.902367,55.587536,41.701473,61.570595,65.234679,62.298694,51.886895,71.420588,76.720379,74.629757,56.975253,77.062476,83.904052,85.314801,-28.845978,357.515372,-77.945595,350.838732
9,34.728127,-6.300518,-0.280838,0.560755,-13.398857,-28.393021,-44.080296,-61.281281,-45.873756,-23.034782,-3.758125,11.297722,-43.253117,-11.112843,11.270828,28.006783,-36.758194,-5.7201,15.013962,30.846863,-26.885204,-6.458817,8.795586,22.135506,31.690991,53.684264,69.457604,82.878377,56.997112,79.588871,83.387818,84.765779,45.838319,65.668599,68.826083,69.524665,32.159862,50.837632,55.599392,58.312087,18.479058,37.443165,43.477045,48.290304,25.614796,51.201897,70.346146,82.513046,54.646111,88.900108,107.027893,119.911194,44.298191,82.796631,103.78727,115.863304,35.002556,70.350552,90.981789,103.784752,27.574997,53.094234,69.305534,82.986946,-14.006167,-11.105935,-5.697217,-4.576941,24.149104,46.134042,53.91342,56.378126,40.721741,60.468597,64.23389,61.733739,51.149163,70.619624,75.824072,73.938832,56.507802,76.482084,83.460066,85.042729,5.887756,351.200899,-78.220825,351.385532
10,3.303452,5.216304,0.022545,-0.215262,-16.227894,-32.593689,-49.610424,-67.035656,-49.280491,-25.847626,-6.199265,7.686768,-45.916729,-14.248695,7.302933,21.877785,-37.749538,-6.68232,13.530693,26.99604,-26.827812,-5.455971,9.188004,20.769768,30.734724,50.547405,64.086801,74.377074,52.921276,72.890248,76.044583,77.531841,42.508737,62.204154,64.566107,64.095693,30.018851,47.46643,51.943088,54.248663,18.06428,35.751698,40.894272,44.661294,25.98032,51.368866,71.022148,84.905434,54.318752,88.468208,106.476059,119.514084,43.669796,81.99234,102.756386,115.010033,34.236546,69.220219,89.76162,102.760506,26.678066,52.211037,68.463936,82.285881,-13.729648,-10.945693,-6.137188,-6.339112,24.22586,45.840912,53.739531,56.448275,41.14856,60.78655,65.027136,62.87853,51.768087,71.124927,76.553406,74.869966,57.175633,77.080199,83.83804,85.214704,9.193668,356.408681,-78.19582,351.161749
11,-3.263855,1.196908,-0.672283,0.740511,-16.408081,-31.542149,-48.168182,-66.206245,-46.663055,-23.902016,-4.094467,9.345131,-41.909752,-9.753914,11.335945,25.733299,-33.132477,-1.513596,17.622986,30.365868,-22.555161,-0.613632,13.793106,25.268784,30.02657,49.842648,61.969688,70.594985,52.565841,72.833932,75.207803,75.711007,41.540181,60.740978,63.393282,62.49753,28.424888,45.601259,49.947191,51.219558,15.940992,34.257091,39.593994,42.832494,25.438499,51.133118,70.774326,83.545132,54.628029,88.746243,106.787968,119.75584,44.214478,82.37257,103.263073,115.496693,34.710732,69.613667,90.400257,103.644962,26.85957,52.193413,68.602581,82.70319,-14.293059,-11.833231,-6.148983,-4.510559,23.414892,44.675867,52.250358,54.496962,40.332837,59.492446,63.501654,61.082767,51.075804,70.126608,75.541564,73.827372,56.739366,76.536548,83.462783,85.079471,5.953789,357.570099,-78.844128,351.866769
12,-2.101479,4.235955,-0.346527,0.249163,-16.762047,-30.928116,-46.570129,-64.914265,-43.464603,-22.991867,-3.438606,10.21843,-38.478642,-8.734303,12.723999,27.731438,-29.983521,-0.559273,18.399696,31.193275,-20.254326,-0.040855,13.608055,24.448242,28.644102,47.799944,58.882661,67.623864,49.715071,68.656146,71.154135,71.438681,38.676815,55.772972,58.374393,57.230282,25.401217,40.334196,45.248911,46.613225,12.827104,28.197152,33.267479,36.012593,25.574856,50.653667,70.024223,83.565845,55.232277,88.683643,106.406765,119.091053,44.762936,82.188091,102.652531,115.070057,35.030022,69.114418,89.601803,102.858524,26.832504,51.923962,68.119011,82.089558,-14.745937,-11.911037,-6.61915,-6.910859,23.633118,44.648141,52.620984,55.476447,40.521053,59.530423,64.17004,62.512783,51.193562,69.769444,75.531066,74.492239,56.7067,75.848525,82.754629,84.600411,3.899031,361.794398,-79.143934,352.104276
