frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
23,0.526622474,0.673316061,0.512057841,0.659792423,0.499472767,0.663556159,0.488662779,0.678666532,0.480634898,0.690651298,0.496678859,0.690075994,0.480957001,0.708386898,0.473106235,0.717267394,0.467526376,0.724057555,0.501196206,0.705581367,0.484102696,0.72413218,0.47508657,0.733727157,0.46822992,0.741389155,0.506702244,0.716584086,0.49097088,0.734320462,0.482227415,0.743102431,0.47587496,0.749375582,0.512297451,0.723704994,0.500078082,0.740026712,0.493489563,0.747276723,0.487979114,0.752482295,0.459440976,0.567632556,0.474686384,0.584699154,0.487222493,0.587735832,0.497014463,0.579218447,0.499697357,0.568801641,0.492225796,0.575713992,0.504515052,0.567935109,0.500654519,0.56764096,0.49572736,0.570390165,0.490208834,0.559036911,0.500611365,0.551075816,0.496421218,0.552382052,0.491653681,0.558229506,0.486526191,0.544106662,0.496284306,0.53621316,0.492222995,0.537872255,0.487209767,0.543709576,0.481831223,0.531761765,0.489251167,0.520258188,0.488106906,0.51964128,0.485708863,0.523476481,0.50121519,0.390096024
24,0.526848197,0.67137593,0.511948526,0.658131301,0.499432743,0.663048387,0.488961667,0.678446651,0.480488956,0.689761519,0.496342033,0.689805269,0.481336802,0.70801729,0.473743737,0.717178881,0.468124181,0.724331021,0.500779927,0.705378115,0.484594524,0.723355949,0.475665182,0.732778132,0.468691498,0.740052402,0.506395459,0.716194689,0.491198897,0.733615339,0.482590854,0.742401063,0.476179779,0.74873811,0.512544692,0.722772777,0.500607371,0.738580644,0.493926853,0.746096015,0.488168687,0.751635432,0.462109596,0.523132622,0.477802813,0.51838553,0.486440867,0.506773651,0.490542054,0.497077137,0.490168214,0.489016652,0.481853366,0.485235572,0.486144662,0.468861818,0.487682134,0.462755501,0.487117797,0.458678633,0.477018446,0.484457284,0.480961859,0.465527087,0.482646435,0.45899865,0.482301354,0.455614448,0.472769141,0.486227989,0.478397578,0.470240295,0.48083207,0.465068638,0.481502801,0.462445349,0.469388455,0.491197318,0.474086136,0.47779882,0.476372868,0.472194195,0.477138966,0.468103707,0.502082959,0.389337435
25,0.526699185,0.671507478,0.511260748,0.658747852,0.498976916,0.66329056,0.488532573,0.678027391,0.480279863,0.689406514,0.496405959,0.689985394,0.481574625,0.708229482,0.474060029,0.717226565,0.468211412,0.723804057,0.500937343,0.705595553,0.484675348,0.723932803,0.475781173,0.73307693,0.468658864,0.739902318,0.506383181,0.716445267,0.491219968,0.734110713,0.482710838,0.742588341,0.476159513,0.748745859,0.512252212,0.722857535,0.500402093,0.738791466,0.493735313,0.746066749,0.487940162,0.751464248,0.458856791,0.490867585,0.473888069,0.472763807,0.482569247,0.453078151,0.484643608,0.438367516,0.478640974,0.425167382,0.473404586,0.416079044,0.473030657,0.38608098,0.472657353,0.369584799,0.471609354,0.35701856,0.465694964,0.419612676,0.463478893,0.389782548,0.463978469,0.376358807,0.464126587,0.366220355,0.459418803,0.430458039,0.463900149,0.424676776,0.466947079,0.43393299,0.467605203,0.439239025,0.456085324,0.446184814,0.462153316,0.447169423,0.465987474,0.456098437,0.466748178,0.462488532,0.502092913,0.389256224
26,0.526422322,0.671399295,0.511398911,0.658700705,0.499217391,0.663288772,0.488791674,0.678102732,0.48050195,0.689150691,0.496306151,0.689448535,0.481210828,0.707659245,0.473699242,0.71675086,0.467989683,0.72377789,0.5008654,0.704923332,0.484329343,0.72323221,0.475403756,0.732665479,0.468438834,0.7398265,0.506367207,0.715631843,0.490951061,0.733268082,0.482367456,0.741880119,0.47588107,0.748178482,0.512234688,0.721999466,0.500159323,0.737933815,0.493401408,0.744908333,0.487562388,0.750058591,0.460478038,0.452304751,0.472852379,0.433724999,0.479136109,0.410993814,0.478250682,0.394556314,0.472883165,0.383420676,0.469098806,0.375422925,0.46626991,0.343997717,0.464125365,0.327497154,0.462343842,0.312531412,0.460009605,0.379079252,0.45733434,0.344709218,0.457511485,0.326814413,0.457567185,0.313509285,0.452926427,0.388470501,0.458861649,0.378075808,0.465796113,0.395589739,0.468380839,0.408829182,0.447954357,0.401247263,0.453763515,0.393258542,0.459604472,0.405792326,0.461759478,0.416388988,0.502025291,0.388851956
27,0.526166618,0.670685053,0.511133909,0.657959163,0.498905241,0.662893653,0.488556653,0.678040445,0.480100721,0.688652694,0.496263027,0.688380122,0.481277496,0.707109332,0.473729014,0.716685057,0.468108684,0.724164784,0.500899971,0.70385325,0.484456688,0.722523808,0.475588053,0.732184708,0.468696147,0.73953867,0.506432474,0.714760005,0.491023421,0.732622206,0.482420295,0.741450906,0.47598663,0.747976005,0.512313306,0.721485555,0.500259221,0.737541854,0.493499577,0.744724035,0.487667084,0.750192285,0.46037519,0.416513741,0.471186191,0.398490727,0.4758645,0.373455942,0.473333716,0.356048375,0.466853082,0.343509316,0.465134591,0.337172121,0.461719096,0.306380928,0.459094614,0.288952827,0.456292391,0.273403585,0.456112325,0.341303289,0.452529937,0.306640625,0.451671362,0.286580652,0.4508259,0.271388769,0.448886931,0.352390558,0.454257905,0.342155486,0.461248428,0.360313237,0.463609189,0.374363393,0.443604738,0.365806818,0.450598717,0.359034151,0.45677799,0.37200129,0.458818942,0.383325845,0.501865119,0.38862972
28,0.525947452,0.670622408,0.510813832,0.658217311,0.49868387,0.663048923,0.488434583,0.67809248,0.47992599,0.68918395,0.496274859,0.688361406,0.481421739,0.706925511,0.473881692,0.716486692,0.468289375,0.723802805,0.500973761,0.703835905,0.484579563,0.722451806,0.475784719,0.732011855,0.468926966,0.739192545,0.50651902,0.714743912,0.491198838,0.732450247,0.48263675,0.741304994,0.476213545,0.747833371,0.51236403,0.721452773,0.500330448,0.737612605,0.493654579,0.7449705,0.48796168,0.750534415,0.458146721,0.401781887,0.46954906,0.37440747,0.472994149,0.349114925,0.469278604,0.330994755,0.462506652,0.318036288,0.462867051,0.318713456,0.460813165,0.291598737,0.459077567,0.272032619,0.456779003,0.255304277,0.455008894,0.32249856,0.452782333,0.291825056,0.451987326,0.269635022,0.450684667,0.252003849,0.448143482,0.333039224,0.45165661,0.31488803,0.458944082,0.329392761,0.462821811,0.344700754,0.442504555,0.34695515,0.446008801,0.333159626,0.453356773,0.341497272,0.4582057,0.352508187,0.501984075,0.387881085
29,0.526448011,0.671230495,0.511528969,0.658146262,0.499409825,0.66286999,0.489222586,0.678091526,0.480939299,0.689358711,0.496724397,0.68836087,0.481819808,0.706507504,0.474263579,0.715973556,0.468670279,0.723431528,0.501280248,0.703948081,0.484995276,0.722359538,0.476194233,0.731878638,0.46944949,0.739232719,0.506806374,0.714904606,0.491613865,0.732537448,0.483060032,0.741381764,0.476780355,0.748037875,0.512759805,0.721577406,0.500730574,0.737658501,0.494041651,0.744816124,0.488476217,0.750112295,0.458701909,0.369160205,0.469015747,0.353613853,0.473306715,0.328367651,0.470377773,0.311093628,0.464097857,0.301130325,0.462867618,0.295225322,0.459932059,0.266126543,0.458359122,0.247501463,0.456385225,0.231569961,0.454918563,0.298738867,0.45178932,0.265674919,0.450664252,0.243821278,0.449324816,0.225792378,0.448211372,0.309713572,0.45092532,0.292732924,0.458473116,0.306454509,0.462622702,0.319335192,0.442652166,0.323174417,0.447901845,0.31220156,0.455536902,0.32144618,0.460065126,0.331978559,0.502262861,0.387055546
30,0.526828766,0.670691371,0.511939704,0.658205628,0.49987942,0.662875891,0.48975423,0.677863955,0.481553793,0.689126015,0.497332782,0.687948823,0.482384026,0.706404507,0.474762052,0.715682447,0.469051421,0.722840488,0.501890421,0.703345358,0.485650063,0.721930444,0.476786226,0.731502891,0.469901294,0.73882103,0.507439613,0.714206815,0.492261916,0.731942236,0.483678013,0.741025448,0.477255553,0.747859418,0.513435543,0.720931411,0.501349747,0.736994207,0.494652212,0.744355977,0.488940775,0.749824464,0.459992111,0.357027799,0.470618933,0.339589834,0.473401725,0.312590629,0.469251961,0.294336468,0.462242037,0.283448696,0.463405102,0.281867683,0.461671472,0.253386289,0.460445583,0.233179361,0.459024876,0.214441732,0.4553684,0.285369635,0.453327894,0.254360259,0.452247858,0.230584607,0.451041043,0.209794849,0.448747188,0.296103418,0.451904237,0.277730078,0.458934426,0.292113483,0.463005096,0.306178898,0.443507463,0.309893996,0.447537392,0.295434058,0.454644352,0.303100705,0.459463596,0.313344449,0.503338471,0.386864156
31,0.527677298,0.671303928,0.512833536,0.658159256,0.500634968,0.662734449,0.490414947,0.678316653,0.482120305,0.689745009,0.498316199,0.688277662,0.483239591,0.706740499,0.475503892,0.71602273,0.469744921,0.72312057,0.502859294,0.703794956,0.486433744,0.722133756,0.477488518,0.731648982,0.470483303,0.739123762,0.508363962,0.714662552,0.492966086,0.731957912,0.484305948,0.740997672,0.477762997,0.748033643,0.514306903,0.721367776,0.502092659,0.737094998,0.49537465,0.744398475,0.489646703,0.749961853,0.461623073,0.345240355,0.471830875,0.329899639,0.474021018,0.30361554,0.469792455,0.286087602,0.463771224,0.273869485,0.464999437,0.271318972,0.462545127,0.242322281,0.460586548,0.222458273,0.458723098,0.204055458,0.456913561,0.274862051,0.455024064,0.243368283,0.453826636,0.220344156,0.452556789,0.199594826,0.450116515,0.285433471,0.453275859,0.267242104,0.46030736,0.282200933,0.464428484,0.296048433,0.44467625,0.299048066,0.448497087,0.284405857,0.455448508,0.291948557,0.460244894,0.301943004,0.503972933,0.386375114
32,0.528102636,0.671227753,0.513264239,0.658113062,0.501176655,0.662558734,0.490959823,0.678019404,0.482632309,0.689729333,0.499019355,0.688528001,0.483832002,0.70668745,0.475973755,0.715642214,0.470050246,0.722270846,0.503508389,0.704276562,0.486896992,0.722099602,0.47777003,0.731262565,0.470552236,0.738276482,0.508970737,0.715200007,0.493401796,0.732171237,0.484648824,0.741109252,0.477946371,0.747944474,0.514915109,0.721787035,0.502667665,0.73738426,0.495904595,0.744745255,0.4901236,0.750403941,0.464428872,0.335676521,0.473780334,0.321375459,0.476437122,0.297464579,0.472842991,0.279442221,0.46769318,0.267118543,0.467531472,0.264205247,0.465010077,0.235598877,0.462763846,0.216057345,0.459982038,0.198298514,0.459517598,0.267216623,0.458073527,0.234285861,0.456728846,0.21091783,0.454943538,0.189725712,0.452491283,0.277476728,0.455842584,0.259325922,0.462594986,0.274967581,0.466399729,0.28888011,0.446446925,0.291285396,0.450003922,0.276392817,0.456599444,0.284038275,0.460989863,0.294209301,0.504641816,0.385982871
