frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
95,0.510682642,0.690434158,0.512463689,0.672118425,0.509528339,0.664154828,0.504427433,0.665100515,0.500456512,0.667146206,0.490602255,0.684802234,0.500178754,0.700367451,0.511050582,0.707523108,0.518819392,0.712642074,0.486452818,0.701730967,0.498359561,0.713359475,0.511124372,0.720026791,0.52182126,0.724472225,0.485722065,0.714271843,0.495173991,0.722857416,0.506788075,0.726663351,0.516349375,0.729695976,0.486936092,0.724037528,0.489633113,0.732044756,0.49386692,0.732621968,0.498536199,0.7326231,0.458783776,0.671661437,0.472826511,0.656600773,0.486321181,0.656598687,0.498018473,0.664944172,0.507477522,0.670793295,0.48782298,0.684976161,0.505299389,0.701107442,0.5143525,0.707504094,0.520792842,0.711466193,0.483266175,0.70233041,0.502724707,0.717846334,0.513544142,0.723794639,0.520814836,0.726370811,0.478454053,0.714152753,0.496838897,0.729374766,0.50710392,0.733509779,0.51398021,0.73357141,0.474038482,0.721297622,0.4889144,0.734169722,0.497365445,0.736912787,0.504031837,0.736478031,0.502595752,0.392928571
96,0.518715382,0.679165125,0.515519619,0.669463396,0.509122729,0.667777002,0.501345277,0.672976434,0.494245499,0.681321323,0.490819842,0.679946899,0.497408032,0.699866652,0.50938499,0.708156943,0.517568946,0.712282479,0.485473722,0.69580555,0.495007157,0.711239994,0.508461714,0.720063806,0.519977987,0.723912537,0.483524978,0.708238721,0.491081387,0.720811844,0.50464958,0.725300968,0.51595366,0.726778448,0.483636439,0.718340695,0.484414011,0.729650557,0.4926925,0.729752183,0.50098902,0.728968561,0.458230883,0.6716308,0.472257197,0.656463206,0.485788554,0.656666398,0.497526705,0.665018976,0.507052958,0.670727968,0.487422466,0.685610533,0.504808962,0.701635778,0.513833404,0.707881033,0.520249248,0.711781561,0.48272416,0.702976227,0.502168477,0.718341529,0.513003826,0.724026799,0.520336568,0.726475894,0.477780312,0.71454519,0.496018112,0.729811788,0.506316483,0.733919024,0.513229191,0.734046698,0.473259717,0.72128278,0.488124102,0.734106362,0.496631324,0.736795366,0.503249824,0.736285865,0.502347276,0.392956465
97,0.508110642,0.695649683,0.508600593,0.678883433,0.505972385,0.668999553,0.502142787,0.666360021,0.499288619,0.664204657,0.490766883,0.690756142,0.499369234,0.703142107,0.5100016,0.709152222,0.517745078,0.713388622,0.487331182,0.706020534,0.498597592,0.714529574,0.51065284,0.719010174,0.521091938,0.722930372,0.486872584,0.716831923,0.493723601,0.723425746,0.504467726,0.725773394,0.51375699,0.729146719,0.488046825,0.725719929,0.483795613,0.730047703,0.48032701,0.731316209,0.477980196,0.732850432,0.457809269,0.670269847,0.471849144,0.655308545,0.485593379,0.656624019,0.497346818,0.665285289,0.507119834,0.67046833,0.486691207,0.684737682,0.504375279,0.701181829,0.513690591,0.707320273,0.520329714,0.710897684,0.481884718,0.701881051,0.501553237,0.718172431,0.512709677,0.724075615,0.520273864,0.72641933,0.477016985,0.713064313,0.495383561,0.729557991,0.505872905,0.733825505,0.512840331,0.733605087,0.472693861,0.719522238,0.48742947,0.733677089,0.49596861,0.736900032,0.502691805,0.736562908,0.5018709,0.392955691
98,0.521069527,0.677944899,0.513751447,0.68063885,0.504971147,0.683677912,0.495978326,0.690273046,0.487719953,0.699066758,0.489045382,0.685919404,0.494102001,0.703973174,0.505957425,0.712108016,0.514757216,0.716385365,0.485913634,0.695401192,0.49357456,0.71043992,0.506743252,0.719675124,0.51836884,0.723060071,0.485857666,0.702786446,0.492255092,0.716072977,0.505498886,0.722048759,0.516784132,0.723323882,0.487441599,0.708964646,0.488505363,0.721011102,0.496809691,0.723056555,0.504927397,0.723011255,0.457675278,0.669710934,0.472073704,0.65541321,0.485925972,0.657091856,0.497592092,0.666135192,0.50730139,0.671201527,0.486713022,0.684771121,0.504259288,0.701594472,0.513394713,0.707488179,0.519894838,0.710889995,0.48166889,0.702013969,0.50120616,0.718540788,0.512139261,0.72406435,0.519637764,0.726131618,0.476534128,0.713309705,0.494963646,0.729962349,0.505414486,0.734015584,0.512463987,0.733705521,0.471987367,0.719814658,0.486687332,0.733998954,0.495329767,0.736996055,0.502199888,0.736533165,0.501512885,0.392961666
99,0.512628317,0.692973077,0.511648655,0.675892234,0.507623732,0.667312264,0.502247989,0.66629076,0.49808839,0.664307892,0.491862327,0.687035978,0.498769671,0.69901973,0.509431005,0.705129147,0.517492354,0.708766103,0.489405304,0.702550769,0.497880131,0.71091032,0.510156393,0.716915846,0.52066493,0.720294714,0.489680499,0.714320838,0.49561134,0.72016871,0.506592929,0.725034714,0.515698433,0.729094088,0.49174881,0.723595381,0.492715657,0.729308188,0.495901465,0.731335938,0.499228239,0.732895017,0.4575831,0.669927001,0.47219184,0.655465841,0.486003846,0.65665549,0.49777925,0.665318906,0.507512808,0.670338929,0.486207455,0.684932649,0.503953338,0.701621294,0.513160169,0.707452238,0.519849181,0.71091634,0.481112689,0.702383339,0.500966132,0.719076812,0.512013733,0.724734068,0.519649982,0.72700268,0.476112306,0.71369487,0.494717598,0.730545878,0.505268693,0.734529674,0.512518704,0.734304905,0.47175619,0.720059276,0.486513764,0.734312475,0.495078504,0.737188041,0.501865923,0.736703157,0.501150042,0.392918825
100,0.520218492,0.677865446,0.512684047,0.681237459,0.504258633,0.685588419,0.495789409,0.693721592,0.487970352,0.702972889,0.489751488,0.688553393,0.493991554,0.706133485,0.505417943,0.712880075,0.513646841,0.715994656,0.487125486,0.696755171,0.493573278,0.711300015,0.506046057,0.719537735,0.516899407,0.722462416,0.487179607,0.702921391,0.492229164,0.715806007,0.504606426,0.721227527,0.514993191,0.722685218,0.488723934,0.708089471,0.488320082,0.720010459,0.495400816,0.722507715,0.502546966,0.72336632,0.457477629,0.669992924,0.472182214,0.655553043,0.486137062,0.656994045,0.497917473,0.66560936,0.507604837,0.670449972,0.485813797,0.684762418,0.503765941,0.701817989,0.513138831,0.707691848,0.519923687,0.711241722,0.480564922,0.702359915,0.500845194,0.719163656,0.512048244,0.724602222,0.519744337,0.726815104,0.475594491,0.713887095,0.494601995,0.731018722,0.50535804,0.734835148,0.512761772,0.734653652,0.471425742,0.720265746,0.486465633,0.734545052,0.495188087,0.737329006,0.502013147,0.736903548,0.500832185,0.392864555
101,0.509676337,0.696160555,0.509808302,0.677707791,0.506751537,0.668426514,0.502569795,0.667102993,0.499453604,0.66459161,0.49202776,0.688019395,0.500191927,0.697373927,0.510399103,0.703085721,0.517890334,0.70666337,0.489235282,0.704150259,0.498936772,0.710661054,0.510315776,0.715503335,0.520153344,0.718363523,0.488976061,0.716597021,0.495670199,0.720752954,0.50574398,0.724428356,0.514362216,0.727837384,0.490434974,0.726209462,0.490600169,0.730679095,0.491473168,0.731774509,0.493017137,0.732351303,0.457793325,0.670338273,0.47216174,0.65562886,0.486010104,0.656646252,0.497847259,0.665146887,0.507598162,0.670501411,0.486149818,0.685255587,0.504150212,0.702264428,0.51347369,0.708164334,0.52010864,0.711678147,0.480986774,0.702793241,0.501336098,0.719496846,0.512438834,0.724739611,0.519910932,0.726658344,0.476035923,0.714331269,0.495181829,0.731250286,0.505756974,0.734833956,0.51288867,0.73420459,0.47185114,0.720766366,0.487015009,0.734822989,0.495712936,0.737394929,0.502436519,0.736500978,0.500565767,0.392808914
102,0.519887805,0.679080844,0.51436919,0.677744031,0.506883025,0.67993474,0.498742789,0.6872949,0.491278589,0.695683897,0.491290092,0.684557021,0.496026784,0.7031039,0.507180512,0.710288227,0.515224099,0.713371336,0.487315118,0.695737123,0.494471669,0.710857987,0.506680608,0.718964159,0.517177343,0.721920609,0.486189932,0.704533458,0.491493076,0.717367887,0.503630936,0.722640991,0.513805091,0.72408092,0.486752748,0.712192476,0.485608071,0.723555088,0.49193567,0.726082802,0.498907566,0.72694838,0.45772633,0.670031309,0.472032309,0.655354559,0.485958725,0.656792879,0.497743338,0.665409505,0.507350922,0.670715868,0.486372828,0.685330451,0.503998339,0.702331781,0.513273954,0.708227634,0.520024836,0.711637676,0.481281668,0.702588439,0.501265764,0.719138801,0.512333333,0.724555433,0.519966245,0.726629257,0.476290047,0.713911355,0.495088309,0.730768144,0.505629599,0.734539449,0.512850523,0.734003246,0.471931398,0.720369339,0.486741483,0.734559357,0.495319247,0.737242699,0.502042234,0.736380458,0.500200421,0.392737478
103,0.51107043,0.691377223,0.5113253,0.676599383,0.508209646,0.669198692,0.50279671,0.669282377,0.498469502,0.670667827,0.489328146,0.688895285,0.4979406,0.702159345,0.508967161,0.707557499,0.517078459,0.711625695,0.485629976,0.703330815,0.49725771,0.712163508,0.509795189,0.717176676,0.520707309,0.721417069,0.485426247,0.714084387,0.493655503,0.720805645,0.505053103,0.723887026,0.514926493,0.727276087,0.487167209,0.7223171,0.486210346,0.730162561,0.486215562,0.732953966,0.487459779,0.735703409,0.45760718,0.670031428,0.471869886,0.655331969,0.485615104,0.656817079,0.4973104,0.66553992,0.506935596,0.67067802,0.486506313,0.685281932,0.504137337,0.701835632,0.513378799,0.707673609,0.520017087,0.71096319,0.481472939,0.702500284,0.501395285,0.718461037,0.512359917,0.723948479,0.519883156,0.726135969,0.476413876,0.713927448,0.495150566,0.730344117,0.505556583,0.734300852,0.512604833,0.733987331,0.471939355,0.720559537,0.486698955,0.734785557,0.495233178,0.737465382,0.501936972,0.736599207,0.499952868,0.392663077
104,0.519749105,0.67963177,0.51430279,0.680330992,0.506885052,0.681931734,0.498693734,0.688324869,0.491007239,0.69595772,0.491181225,0.688672245,0.49652943,0.706494689,0.50784266,0.712347806,0.515898228,0.714829922,0.48749584,0.698081851,0.495742649,0.712782443,0.507873654,0.719427824,0.518580556,0.721899092,0.486658484,0.704884946,0.492543638,0.717805505,0.504562736,0.721614242,0.514845014,0.72269541,0.48741287,0.71064049,0.484927654,0.722168565,0.488849729,0.724944353,0.493985027,0.726899445,0.457388997,0.670395911,0.471930057,0.65557909,0.485641778,0.656972051,0.497351736,0.665833175,0.507026911,0.670978367,0.486242384,0.685017407,0.50392133,0.701782346,0.513117611,0.707625866,0.519671321,0.710941076,0.481258154,0.702473044,0.501266897,0.718565345,0.512303054,0.723989546,0.519881725,0.726107836,0.476313978,0.71408397,0.495117933,0.730443418,0.505562782,0.734309196,0.512632966,0.733966231,0.471937954,0.720826268,0.486777186,0.734800339,0.495269477,0.73739934,0.501900852,0.736484945,0.499729499,0.39260079
