,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
2,-21.692619,-1.14016,-1.767998,-1.590999,-19.257374,-23.910198,-30.123024,-39.973068,-5.105267,3.725338,-9.507866,-27.224178,10.284691,30.893211,17.446747,-0.98608,25.938835,46.428337,28.457794,6.557293,40.015297,54.354172,44.929962,31.383133,15.890295,41.695175,61.242021,72.927669,63.805651,104.557403,125.43849,141.613084,61.037009,91.823048,97.835994,103.303376,52.321124,82.374062,88.484327,93.242937,42.278222,60.461743,62.046629,63.588845,42.477951,73.800201,100.327263,123.304825,82.713547,115.477867,111.561012,100.273819,70.573196,105.070267,100.459442,90.495987,55.62149,89.986954,89.924812,82.339897,39.494247,67.986717,77.35817,78.942833,-12.409486,-8.376011,5.165051,14.687088,20.587958,46.717027,41.275951,33.947536,40.472455,64.008007,55.186528,47.062212,55.956124,79.058558,73.427662,66.759976,67.967505,90.62756,91.374246,87.295199,-16.451054,357.837293,-51.68684,359.772365
3,-14.367142,5.289479,1.088963,1.417975,35.35984,59.419556,78.476601,92.970657,57.036438,90.008354,82.682076,70.471802,41.239128,73.669624,66.121788,52.118225,23.878098,46.217995,36.058617,20.213299,6.867886,4.903851,-4.474411,-15.062885,-11.438276,-2.933145,12.43326,26.041816,34.476675,53.577127,44.569039,35.446651,50.553951,67.08114,59.013881,54.592242,61.113209,88.487291,94.297881,100.939261,65.559116,94.956326,108.202036,122.456748,41.920967,73.516445,100.816784,121.824703,80.388966,113.215542,108.559628,96.39925,68.352757,102.872944,98.237057,87.650471,54.116993,88.575726,87.129536,78.662395,39.490013,68.605099,75.829296,74.846134,-10.682327,-7.250672,5.677024,15.45903,20.008924,47.334902,42.461992,34.725838,39.053492,63.803366,56.815998,48.903424,54.573656,78.075121,74.412457,68.583404,67.46356,89.453808,88.744666,83.838905,-29.736986,364.415224,-49.516668,362.478793
4,31.110878,-13.899894,0.650997,0.754714,-36.435127,-55.157661,-66.007404,-73.331966,-38.360367,-56.658726,-69.613609,-80.446243,-20.365105,-39.274006,-55.022106,-66.002655,-2.969856,-14.515686,-32.350388,-45.808239,14.462814,7.907753,-4.901733,-16.629925,6.950009,26.727431,51.749686,66.096529,64.422105,97.260233,117.150597,132.03294,79.225655,113.479844,132.513358,145.152062,86.593405,120.261768,138.516795,152.250334,88.013974,117.81182,134.521049,148.771563,41.021519,72.790489,100.084648,121.019325,80.324478,112.12326,108.540344,97.107239,68.232994,101.99398,98.050117,87.827911,53.802795,87.601433,87.026367,79.316483,38.832493,67.493134,75.091667,74.523811,-11.964142,-8.205456,5.044638,14.694746,20.457664,46.847321,41.704314,33.999406,39.49544,63.279352,55.894435,47.861695,54.648003,77.318494,73.225676,67.505303,66.944116,88.334273,87.357814,82.573577,2.214918,351.367702,-48.024645,364.085879
5,-12.259541,1.817562,1.03735,0.239221,-30.809841,-42.573338,-50.061665,-62.597466,-25.771008,-38.802681,-54.48698,-70.416183,-2.242699,-4.19426,-18.924236,-31.553993,21.444111,29.565983,17.726955,6.457043,42.53088,49.845715,41.279354,29.593678,11.085125,32.362835,54.268115,66.927381,59.290893,96.803466,118.191277,133.952575,68.050251,101.661494,114.312795,122.137437,67.157957,98.99684,103.879692,105.570789,61.303401,89.567429,97.145192,101.696074,40.090942,71.781406,99.054852,120.485516,79.277859,111.121273,107.673626,96.302547,67.223682,100.941296,97.341099,87.354755,52.887783,86.572781,86.562824,79.341831,38.040905,66.513119,74.438152,74.419727,-12.29389,-8.513653,4.974304,14.400011,20.52948,46.451747,40.922616,33.133913,39.58047,62.951334,55.156641,47.131311,54.587549,77.2418,72.732291,67.033592,66.692606,88.164768,87.298472,82.818603,-9.570951,353.841825,-46.513624,364.981661
6,-12.593479,4.068796,0.775394,-0.177779,15.514011,31.438751,41.907005,50.307999,34.019737,65.686226,59.200745,47.582016,28.924484,55.491829,45.596352,32.050667,24.517136,43.540306,31.433601,17.083969,21.910629,26.92646,20.009651,13.26273,3.381144,20.197819,34.389298,46.477868,56.927458,80.88847,72.609037,64.788224,65.044796,90.35839,85.725071,82.875969,64.739935,92.813401,93.395707,96.722573,59.205986,79.868662,79.693661,83.359907,39.60268,71.04538,98.152542,119.108047,78.317299,110.137711,107.333336,96.261635,66.302605,99.73114,96.722603,86.849442,51.803398,85.10273,85.823822,78.983231,36.676083,64.813271,73.214951,73.524284,-12.671864,-8.696125,4.99814,14.7623,21.006873,46.611619,40.933731,33.09149,40.005807,63.0468,55.090013,46.953778,54.813988,77.152632,72.633243,66.894283,66.514456,87.715534,87.245737,82.96668,-21.939554,358.320181,-45.513353,365.213441
7,24.885178,-2.231475,0.881023,-0.208161,-34.597492,-54.049816,-66.441765,-75.482197,-42.731609,-61.077862,-74.645977,-85.691299,-25.170135,-43.576584,-59.041157,-69.668884,-7.284393,-18.067131,-35.380783,-48.729515,11.095619,5.84301,-6.219406,-17.64616,5.105154,24.57722,49.698337,63.245636,59.034999,92.017006,112.182035,126.774646,74.786665,110.385963,129.957262,142.702547,83.407702,117.916981,135.990215,149.32639,86.121262,116.685431,133.337973,147.405582,39.348278,70.495777,97.370853,118.214321,77.582531,109.607677,106.222744,94.641781,65.494823,99.047756,96.231709,86.386814,50.796833,84.474621,85.397129,78.509388,35.269089,64.06683,72.879925,73.419399,-12.607643,-8.612206,5.459601,15.351399,21.38003,46.283354,40.017787,32.009685,40.376433,63.033833,55.071858,46.982924,55.206659,77.492445,72.89383,67.026244,66.998456,88.477966,88.166682,83.936532,3.098288,356.297253,-44.479666,365.213827
8,-15.372276,1.249334,0.21246,0.349199,-25.230618,-38.034668,-47.287674,-59.930248,-24.326363,-35.041466,-52.667141,-70.690784,-3.20034,-1.770401,-15.896015,-28.833904,18.537254,27.558289,15.842171,3.395519,38.717766,43.379173,35.223541,23.441048,10.735618,31.234655,53.234413,64.752161,55.293542,92.655505,112.665973,128.896081,64.698438,96.978652,111.263251,120.197362,65.246288,98.119552,107.821715,112.535865,60.338365,92.174963,106.264123,116.337653,38.810463,69.819031,96.741142,118.490524,77.584076,109.005547,105.949173,94.856186,65.633926,98.806686,96.486397,87.286034,50.722733,84.299698,85.880814,79.577522,34.689102,63.466759,73.27343,75.174408,-12.89009,-9.059094,4.737121,14.165359,20.179047,45.533025,40.681974,33.164356,39.182921,62.45943,55.698686,47.883925,54.258482,76.973062,73.381349,67.722541,66.225711,87.620315,88.218923,84.538846,-12.262573,357.767437,-44.255791,365.783876
9,-8.626957,4.846111,0.540447,-0.081943,0.242615,8.813381,12.035751,14.934998,22.236843,49.93372,48.041553,41.685963,24.475079,44.030857,35.892391,22.81065,25.635853,37.576733,22.914333,5.942745,27.350292,31.033688,26.3027,21.709957,13.499072,35.889895,53.239908,67.067678,58.036186,83.713181,82.384003,80.627451,59.440391,87.554489,89.459119,91.532142,53.479624,84.359584,92.089995,101.468462,43.56047,61.3302,63.359442,70.943937,38.601322,69.683704,96.610508,118.319492,76.505871,108.31461,105.284786,94.108601,64.488201,98.041363,96.726665,87.911625,49.553776,83.159809,85.624866,79.933949,33.519573,62.059879,72.606983,75.06815,-12.685325,-8.998394,4.575335,13.804428,20.504039,45.511042,40.000558,32.339864,39.459131,62.671913,56.034115,48.314263,54.277562,77.089029,73.599699,68.061489,65.922702,87.533803,88.761339,85.669249,-20.834455,362.799262,-43.660269,365.887648
10,-14.039211,5.585819,0.540733,0.198713,32.603416,59.842415,81.797791,99.757919,66.603699,96.451721,92.89238,82.892075,53.486824,86.479454,83.342171,74.712067,38.838501,68.853836,69.233551,63.519516,23.001709,40.90107,46.625061,46.998596,-13.545323,-6.551657,10.030366,22.783741,26.867913,47.013367,42.335959,35.374279,45.5011,62.479005,53.888535,46.669294,58.048598,77.609462,70.766404,65.526882,63.890681,85.146099,85.993253,85.474179,38.206844,68.844738,95.622768,117.492771,76.363964,107.669735,104.596195,93.400784,64.40855,97.52718,96.627445,88.018513,49.399738,82.693348,85.477924,80.014286,33.077316,61.543751,72.584438,75.534153,-13.393109,-9.855366,4.001674,13.567739,19.97243,44.86081,39.883541,32.405752,38.983838,62.500741,56.776663,49.342346,53.874579,76.975532,74.243138,68.861404,65.499897,87.075367,89.072993,86.63873,-34.966993,368.577171,-43.212862,366.27845
11,32.065773,-15.68337,0.793877,0.269541,-31.831341,-50.381413,-61.727314,-70.569077,-32.120018,-48.498058,-62.014561,-73.878708,-10.866737,-25.613422,-41.695004,-53.150253,9.687538,4.541931,-11.66399,-24.185486,29.332123,28.463516,16.031914,4.049606,10.89197,33.906225,58.101889,70.350948,67.271887,102.657713,122.441866,137.632468,76.903407,112.96114,132.369542,144.262547,78.598271,113.318428,128.532124,138.327283,74.719234,105.129953,120.633999,131.925186,37.687397,68.255024,94.83736,116.531696,76.127872,107.165966,103.996868,92.87241,64.107685,96.83939,96.251278,87.967472,49.154034,81.942272,84.870815,79.627018,33.112621,60.729733,71.503315,74.397182,-13.512287,-9.947621,3.703851,13.211995,20.375907,44.788624,39.202681,31.502899,39.346622,62.336176,55.930374,48.13846,53.935527,76.378467,73.148612,67.461831,65.055171,86.462618,88.524958,86.20129,-2.999697,353.048255,-42.517462,366.702444
